Area Code;Date;Market;Market Size;Product;Product Line;Product Type;State;Type;Budget COGS;Budget Margin;Budget Profit;Budget Sales;COGS;Inventory;Margin;Marketing;Nombre d'enregistrements;Profit;Sales;Total Expenses
719;01/01/2012;Central;Major Market;Amaretto;Beans;Coffee;Colorado;Regular;$90;$130;$100;$220;$89;777;$130;$24;1;$94;$219;$36
970;01/01/2012;Central;Major Market;Colombian;Beans;Coffee;Colorado;Regular;$80;$110;$80;$190;$83;623;$107;$27;1;$68;$190;$39
970;01/01/2012;Central;Major Market;Decaf Irish Cream;Beans;Coffee;Colorado;Decaf;$100;$140;$110;$240;$95;821;$139;$26;1;$101;$234;$38
303;01/01/2012;Central;Major Market;Green Tea;Leaves;Tea;Colorado;Regular;$30;$50;$30;$80;$44;623;$56;$14;1;$30;$100;$26
303;01/01/2012;Central;Major Market;Caffe Mocha;Beans;Espresso;Colorado;Regular;$60;$90;$70;$150;$54;456;$80;$15;1;$54;$134;$26
720;01/01/2012;Central;Major Market;Decaf Espresso;Beans;Espresso;Colorado;Decaf;$80;$130;$80;$210;$72;558;$108;$23;1;$53;$180;$55
970;01/01/2012;Central;Major Market;Chamomile;Leaves;Herbal Tea;Colorado;Decaf;$140;$160;$110;$300;$170;1 091;$171;$47;1;$99;$341;$72
719;01/01/2012;Central;Major Market;Lemon;Leaves;Herbal Tea;Colorado;Decaf;$50;$80;$20;$130;$63;435;$87;$57;1;$0;$150;$87
970;01/01/2012;Central;Major Market;Mint;Leaves;Herbal Tea;Colorado;Decaf;$50;$70;$40;$120;$60;336;$80;$19;1;$33;$140;$47
719;01/01/2012;Central;Major Market;Darjeeling;Leaves;Tea;Colorado;Regular;$40;$70;$20;$110;$58;338;$72;$22;1;$17;$130;$55
303;01/01/2012;Central;Major Market;Earl Grey;Leaves;Tea;Colorado;Regular;$50;$70;$40;$120;$64;965;$76;$19;1;$36;$140;$40
217;01/01/2012;Central;Major Market;Colombian;Beans;Coffee;Illinois;Regular;$150;$210;$130;$360;$144;862;$201;$47;1;$111;$345;$90
309;01/01/2012;Central;Major Market;Decaf Irish Cream;Beans;Coffee;Illinois;Decaf;$100;$140;$100;$240;$95;608;$139;$30;1;$87;$234;$52
309;01/01/2012;Central;Major Market;Caffe Mocha;Beans;Espresso;Illinois;Regular;$270;$370;$260;$640;$234;1 310;$312;$77;1;$203;$546;$109
630;01/01/2012;Central;Major Market;Decaf Espresso;Beans;Espresso;Illinois;Decaf;$260;$270;$180;$530;$228;1 459;$228;$63;1;$140;$456;$88
312;01/01/2012;Central;Major Market;Chamomile;Leaves;Herbal Tea;Illinois;Decaf;$70;$120;$100;$190;$89;777;$130;$24;1;$95;$219;$35
630;01/01/2012;Central;Major Market;Lemon;Leaves;Herbal Tea;Illinois;Decaf;$70;$90;$60;$160;$83;623;$107;$27;1;$68;$190;$39
773;01/01/2012;Central;Major Market;Mint;Leaves;Herbal Tea;Illinois;Decaf;$80;$120;$100;$200;$95;821;$139;$26;1;$101;$234;$38
217;01/01/2012;Central;Major Market;Darjeeling;Leaves;Tea;Illinois;Regular;$40;$70;$50;$110;$54;456;$80;$15;1;$53;$134;$27
708;01/01/2012;Central;Major Market;Earl Grey;Leaves;Tea;Illinois;Regular;$60;$90;$40;$150;$72;558;$108;$23;1;$54;$180;$54
319;01/01/2012;Central;Small Market;Amaretto;Beans;Coffee;Iowa;Regular;$10;$30;$20;$40;$18;821;$27;$5;1;$11;$45;$16
641;01/01/2012;Central;Small Market;Colombian;Beans;Coffee;Iowa;Regular;$20;$40;$20;$60;$28;965;$34;$8;1;$5;$62;$29
712;01/01/2012;Central;Small Market;Decaf Irish Cream;Beans;Coffee;Iowa;Decaf;$20;$30;$20;$50;$23;623;$31;$7;1;$12;$54;$19
563;01/01/2012;Central;Small Market;Caffe Mocha;Beans;Espresso;Iowa;Regular;$10;$40;$30;$50;$17;777;$26;$4;1;$11;$43;$15
563;01/01/2012;Central;Small Market;Decaf Espresso;Beans;Espresso;Iowa;Decaf;$10;$40;$30;$50;$17;777;$26;$4;1;$10;$43;$16
641;01/01/2012;Central;Small Market;Chamomile;Leaves;Herbal Tea;Iowa;Decaf;$200;$280;$200;$480;$234;1 310;$312;$77;1;$202;$546;$110
563;01/01/2012;Central;Small Market;Lemon;Leaves;Herbal Tea;Iowa;Decaf;$80;$120;$90;$200;$95;608;$139;$30;1;$86;$234;$53
712;01/01/2012;Central;Small Market;Darjeeling;Leaves;Tea;Iowa;Regular;$190;$210;$140;$400;$228;1 459;$228;$63;1;$141;$456;$87
319;01/01/2012;Central;Small Market;Earl Grey;Leaves;Tea;Iowa;Regular;$210;$270;$160;$480;$245;1 419;$301;$93;1;$175;$546;$126
636;01/01/2012;Central;Small Market;Colombian;Beans;Coffee;Missouri;Regular;$90;$100;$40;$190;$85;494;$105;$32;1;$39;$190;$66
573;01/01/2012;Central;Small Market;Decaf Irish Cream;Beans;Coffee;Missouri;Decaf;$80;$90;$50;$170;$78;965;$92;$24;1;$47;$170;$45
417;01/01/2012;Central;Small Market;Green Tea;Leaves;Tea;Missouri;Regular;$20;$40;$0;$60;$34;197;$42;$12;1;($4);$76;$46
573;01/01/2012;Central;Small Market;Caffe Mocha;Beans;Espresso;Missouri;Regular;$50;$90;$70;$140;$50;821;$73;$14;1;$48;$123;$25
660;01/01/2012;Central;Small Market;Decaf Espresso;Beans;Espresso;Missouri;Decaf;$50;$80;$60;$130;$46;777;$68;$12;1;$45;$114;$23
573;01/01/2012;Central;Small Market;Chamomile;Leaves;Herbal Tea;Missouri;Decaf;$30;$40;$0;$70;$37;261;$53;$34;1;($11);$90;$64
314;01/01/2012;Central;Small Market;Lemon;Leaves;Herbal Tea;Missouri;Decaf;$70;$10;($20);$80;$88;525;$11;$27;1;($39);$99;$50
314;01/01/2012;Central;Small Market;Darjeeling;Leaves;Tea;Missouri;Regular;$30;$40;$10;$70;$35;196;$47;$11;1;$9;$82;$38
573;01/01/2012;Central;Small Market;Earl Grey;Leaves;Tea;Missouri;Regular;$20;$30;($10);$50;$29;169;$36;$11;1;($9);$65;$45
740;01/01/2012;Central;Major Market;Amaretto;Beans;Coffee;Ohio;Regular;$60;$80;$50;$140;$60;336;$80;$19;1;$34;$140;$46
614;01/01/2012;Central;Major Market;Colombian;Beans;Coffee;Ohio;Regular;$60;$80;$50;$140;$57;364;$83;$18;1;$42;$140;$41
614;01/01/2012;Central;Major Market;Decaf Irish Cream;Beans;Coffee;Ohio;Decaf;$60;$90;$20;$150;$63;435;$87;$57;1;$0;$150;$87
216;01/01/2012;Central;Major Market;Earl Grey;Leaves;Tea;Ohio;Regular;$70;$100;$60;$170;$84;500;$116;$26;1;$67;$200;$49
614;01/01/2012;Central;Major Market;Decaf Espresso;Beans;Espresso;Ohio;Decaf;$60;$90;$40;$150;$58;338;$72;$22;1;$16;$130;$56
614;01/01/2012;Central;Major Market;Caffe Mocha;Beans;Espresso;Ohio;Regular;$190;$210;$140;$400;$170;1 091;$171;$47;1;$99;$341;$72
937;01/01/2012;Central;Major Market;Chamomile;Leaves;Herbal Tea;Ohio;Decaf;$20;$50;$50;$70;$32;456;$48;$8;1;$29;$80;$19
740;01/01/2012;Central;Major Market;Lemon;Leaves;Herbal Tea;Ohio;Decaf;$20;$50;$50;$70;$32;821;$48;$8;1;$29;$80;$19
567;01/01/2012;Central;Major Market;Darjeeling;Leaves;Tea;Ohio;Regular;$70;$110;$60;$180;$84;651;$126;$27;1;$68;$210;$58
262;01/01/2012;Central;Small Market;Amaretto;Beans;Coffee;Wisconsin;Regular;$50;$70;$30;$120;$54;312;$66;$20;1;$13;$120;$53
262;01/01/2012;Central;Small Market;Colombian;Beans;Coffee;Wisconsin;Regular;$80;$110;$20;$190;$79;551;$111;$72;1;$9;$190;$102
414;01/01/2012;Central;Small Market;Decaf Irish Cream;Beans;Coffee;Wisconsin;Decaf;$80;$100;$60;$180;$77;432;$103;$25;1;$51;$180;$52
262;01/01/2012;Central;Small Market;Earl Grey;Leaves;Tea;Wisconsin;Regular;$60;$90;$10;$150;$75;522;$105;$68;1;$7;$180;$98
262;01/01/2012;Central;Small Market;Decaf Espresso;Beans;Espresso;Wisconsin;Decaf;$50;$70;$50;$120;$48;623;$62;$15;1;$34;$110;$28
414;01/01/2012;Central;Small Market;Caffe Mocha;Beans;Espresso;Wisconsin;Regular;$80;$90;$50;$170;$69;965;$81;$21;1;$38;$150;$43
715;01/01/2012;Central;Small Market;Chamomile;Leaves;Herbal Tea;Wisconsin;Decaf;$50;$100;$80;$150;$67;400;$113;$20;1;$70;$180;$43
715;01/01/2012;Central;Small Market;Lemon;Leaves;Herbal Tea;Wisconsin;Decaf;$20;$50;$50;$70;$33;777;$48;$9;1;$28;$81;$20
608;01/01/2012;Central;Small Market;Darjeeling;Leaves;Tea;Wisconsin;Regular;$50;$80;$50;$130;$61;390;$89;$19;1;$47;$150;$42
475;01/01/2012;East;Small Market;Darjeeling;Leaves;Tea;Connecticut;Regular;$50;$80;$60;$130;$50;821;$73;$14;1;$47;$123;$26
475;01/01/2012;East;Small Market;Green Tea;Leaves;Tea;Connecticut;Regular;$40;$60;$40;$100;$38;777;$56;$10;1;$35;$94;$21
475;01/01/2012;East;Small Market;Decaf Espresso;Beans;Espresso;Connecticut;Decaf;$50;$70;$40;$120;$55;312;$75;$18;1;$30;$130;$45
860;01/01/2012;East;Small Market;Caffe Mocha;Beans;Espresso;Connecticut;Regular;$70;$100;$20;$170;$75;522;$105;$68;1;$7;$180;$98
475;01/01/2012;East;Small Market;Colombian;Beans;Coffee;Connecticut;Regular;$110;$180;$130;$290;$124;961;$186;$40;1;$115;$310;$71
860;01/01/2012;East;Small Market;Lemon;Leaves;Herbal Tea;Connecticut;Decaf;$60;$80;$40;$140;$85;494;$105;$32;1;$40;$190;$65
475;01/01/2012;East;Small Market;Mint;Leaves;Herbal Tea;Connecticut;Decaf;$50;$80;$50;$130;$78;965;$92;$24;1;$47;$170;$45
954;01/01/2012;East;Major Market;Darjeeling;Leaves;Tea;Florida;Regular;$30;$50;$40;$80;$32;821;$48;$8;1;$28;$80;$20
754;01/01/2012;East;Major Market;Green Tea;Leaves;Tea;Florida;Regular;$30;$50;$40;$80;$33;777;$48;$9;1;$28;$81;$20
