Author,Publication Date,Review
bougiefever,"on July 1, 2019","I've been developing software for over 20 years, and I still can't estimate how long something will take me when I've never done it before. This uncertainty needs to become more than just a stick to beat developers about the head and shoulders with. Most of the time the PMs understand this, but there have been many projects where they just don't get it. I have suffered great anxiety from being forced to give estimates when the truth is I have no clue. It depends on how easy it is and how many unforeseen issues I encounter. It was so bad that once my husband asked me how long it would be before I was done cooking something, and I practically had a meltdown. That's when I knew it was time to leave that team. Can we stop pretending we can forecast the unknown? (edit typo)"
xwdv,"on July 1, 2019","No.Even bad estimates are better than no estimates. If you are having meltdowns your reputation is being tied too closely to your ability to give estimates.You must never turn estimates into a promise, always remind people they are estimates.Want to give fast estimates? Here’s how:1) first determine the scale of the task? Is it a year, month, week or day kind of task?2) Then, it’s just 3 of those units. The smallest task takes 3 days. One day to completely fuck up, one day to figure out why, one day to get right. The longest takes 3 years. One year to fuck it all up, one year to learn why, one year to finish it.I suggest never giving estimates in units smaller than a day. They just become noise. If a task is smaller than dayscale just say the task is too small to provide any meaningful estimate but won’t take more than a day."
bb88,"on July 1, 2019",">  Even bad estimates are better than no estimates.No estimate is clearly better.  Here's a common story I've seen across multiple companies.1.  Marketing management asks Engineering management how long it takes to do feature X so they know when to launch the online ad campaign.2.  Engineering management then asks potentially good coder how long it will take.  Coder replies with a time and ""it's just an estimate.""3.  Engineering management reports to Marketing that coder's estimate leaving off the most important caveat, and Marketing treats that as the gospel truth.4.  Coder takes longer than expected because of some bad technical cruft that some other engineer put in because he was potentially rushed or just plain inept.5.  Marketing is pissed because they now have to withdraw the ad campaign, and starts blaming engineering.6.  Under increased scrutiny, Engineering gets a bad reputation, who then throws the coder under the bus in front of Marketing and other managers.7.  This shows up on the coder's annual review who then leaves.8.  Engineering hires replacement which will have a 3-6 month learning cycle, and potentially writes worse code than the person that just left.EDIT:  The point is that if there's no estimate, management has to deal with the uncertainty that the coder experiences.  Hope for the best, plan for the worst."
karmelapple,"on July 2, 2019","What is plan for the worst in a scenario with literally zero estimate?“It may take 0 to 3 years” ?“We literally have no way of knowing?”
“Not even a ballpark?”
“No.”This is what you’ve proposed with no estimate, and this seems extremely unhelpful towards the goal of helping all groups at least have some idea when certain “next steps” can be accomplished."
atoav,"on July 2, 2019","I work as a sound mixer for film and estimating how long it will take is always hard, but I never really got a bad reception when I just said: I canlt tell you unless I see the thing.Hell if you ask a mechanic to fix your car they will also have to check the thing first before deciding how long it is going to take.This is the professional thing to do: gauge the situation, take tour time to figure out the scale of the thing as long as you need and then give a pessimistic guess with a disclaimer that things can easily get out of hand without anybodies fault if unforseen problems arise."
Traster,"on July 2, 2019","Right, but there's a big difference between ""Don't estimate until you've done your due diligence"" and ""Don't estimate"".It's perfectly reasonable to say ""This is a big project, it'll take me a week to know where we stand""- there, you've provided an estimate of the scoping task and promised an estimate in the future as well."
bob33212,"on July 2, 2019",My advice would be to live in the real world. We don't know how long it is going to take. Just like if you go to turn on your car and it doesn't start. Maybe it was a minor issue and the next time you turn the key it will start. Maybe there was a short circuit and the car is totaled. A passenger asking you when you are going to get moving is no help.
sopooneo,"on July 2, 2019","If your car won’t start, it will take more than a second, but less than a year to fix. That is a bad estimate, but better than no estimate for a space alien that doesn’t know what a car is.PM’s are space aliens."
bb88,"on July 2, 2019","The only tool the space alien's PM has is a deadline.  ""Do X by this date or else.""  Because he has no hope for understanding the true problem domain before the project deadline -- just like a space alien can't be expected to learn english in 4 days.A PM with a deep understanding of the software process, can ask insightful questions, identify and possibly mitigate many of the issues beforehand.  So when it gets to the software lackeys, many of the resource/architectural issues may have been solved."
dragonwriter,"on July 2, 2019","> If your car won’t start, it will take more than a second, but less than a year to fix. That is a bad estimateIt's actually a better estimate than most software estimstes, because it isn't just an expected time but a range that results will usually fall within. It would be better if it included an explicit degree of confidence that th actual result would be in the range, and if it was centered around the average time it would take for events in the class."
