URL,Author,Author Description,Publication Date,Votes,Review
https://www.quora.com/In-a-nutshell-why-do-a-lot-of-developers-dislike-Agile-What-are-better-project-management-paradigm-alternatives,Assistant,Bot,2024-07,0,"There are a few key reasons why some developers dislike Agile methodologies:
Rigid Processes and Ceremonies: Agile frameworks like Scrum involve a lot of prescribed processes, meetings, and ceremonies that some developers find overly bureaucratic and constraining. The frequent sprints, standups, retrospectives etc. can feel like unnecessary overhead.
Lack of Long-Term Planning: Agile's focus on short iterations and responding to change can make it challenging to do extensive upfront planning and design. Some developers prefer more traditional waterfall-style planning with clear requirements and roadmaps.
Frequent Context Switching: The rapid transition between different tasks and features during sprints can lead to frequent context switching, which many developers find disruptive to their flow and productivity.
Pressure and Micromanagement: The visibility and frequent progress reporting in Agile can feel like increased pressure and micromanagement from project managers, which clashes with developers' preferences for autonomy.
As alternatives, some developers may prefer more lightweight or hybrid project management approaches:
Kanban - Focuses on workflow visualization, work-in-progress limits, and continuous delivery rather than strict iterations.
Lean Development - Emphasizes reducing waste, optimizing flow, and incorporating customer feedback incrementally.
Extreme Programming (XP) - Prioritizes practices like pair programming, test-driven development, and continuous refactoring.
Disciplined Agile Delivery (DAD) - Provides a more flexible, scalable, and enterprise-aware version of Agile.
Waterfall-Agile Hybrid - Combining upfront planning and design with iterative development and feedback loops.
The key is finding a methodology that balances the developers' need for autonomy and focus with the organization's need for visibility, coordination, and responsiveness. A one-size-fits-all approach is unlikely to work for every team and project."
https://www.quora.com/In-a-nutshell-why-do-a-lot-of-developers-dislike-Agile-What-are-better-project-management-paradigm-alternatives,Miles English,I'm a programmer.,2016,3.7K,"This story is 100% true.
I got hired onto a team of construction workers to build a house. We set up a meeting with Management to find out what kind of house they wanted us to build, where’s the floor plan, what it’s going to be used for, who it’s for, etc. Management said that they didn’t know all that, we should just get started. They told us that we were going to use “Agile” which means that we just work on small deliverables and build the thing incrementally.
The developer team lead argued that we at least need to know how big the thing is going to be so that we can get started pouring the foundation, but Management told him they just don’t know. “What we do know,” Management said, “is that the house is going to have a bathroom. Just start there, and we’ll know more when it’s done. You have two weeks.”
So we just bought a port-a-potty, and screwed around on the internet for two weeks. Management was outraged. “You call this a house? This is the worst house ever! It doesn’t even have a tv!”
So we bought a tv and put it in the port-a-potty, attached to an outdoor generator. We were going to buy a a dvd player and get it hooked up to cable, but Management rejected the expense request, saying that they didn’t know if we needed it, and we’d come back to that later.
Management decided that we definitely need storage space, so we bought a boxcar and duct-taped the port-a-potty to it. Then to our horror they set up some desks and put a few miserable business interns in there. It went on like this…
After a few years the boxcar grew into a huge, ramshackle complex. It floods, leaks, it’s frozen in the winter and an oven in the summer. You have to get around in a strange maze of cardboard tubes, ladders and slides. There are two equally horrible separate buildings. We’re still using just the one outdoor generator for all power, so electricity is tightly rationed.
Communication between the buildings was a problem. For one of them, we use a complex series of flag signals. For the other we write notes on paper, crumple the paper up, and toss it over. Both of these methods were suggested as jokes, but Management really liked them for some reason. The buildings mostly talk to each other but they have to talk through us, so most of what we do is pass messages on.
It was suggested that we use paper airplanes instead of crumpled up balls, but the fat, awkward fingers of the Business Majors who inevitably take those jobs couldn’t be trained to make them. I built an awesome automatic paper airplane folder, but once again they couldn’t be trained to use it, so they just went back to crumpling the notes up in balls.
The worst part of all this is that it’s working. Everyone is miserable, but the business is making money. The bright side is that this nightmare complex is done so now we know what kind of building they actually needed in the first place, so we can start work on it. Obviously we can’t tell Management anything about what we’re doing until it’s finished. They noticed the gigantic hole in the ground where the foundation is coming in, but we told them that it’s a cache reset, and they mostly ignore it except when the occasional customer falls in.
I’ll probably be out of here before the new building gets finished. I could get a 50% raise by switching jobs, but Management still doesn’t think I should get a raise because I missed a couple sprints."
https://www.quora.com/In-a-nutshell-why-do-a-lot-of-developers-dislike-Agile-What-are-better-project-management-paradigm-alternatives,Russell Wark,"Lived in Croydon, England (2012–2016)",2016,150,"""Agile"" in and of itself, isn't a bad thing. Deliver regularly, with small, achievable milestones, the minimum of overhead and with the capacity to accommodate change across a team. This side of the whole thing is fine. The ""spirit"" of the Agile Manifesto. That's what a lot of us were doing anyway.
Then the ""scrum coaches"" came and fucked it all up. The evangelical religious zealots of the development world. ISIS with a smile and a MacBook.
Our employers paid these fucking charlatans loads of money to weigh this simple, flexible process down with so much additional baggage, so much additional jargon and with so little appreciable improvement in productivity that they ruined the whole thing.
And what's with all the meetings? What a waste of time. Some of us aren't confident standing up in front of a roomful of people and talking, that's just how we are. Just send us an email or Slack message if you want our input and I'll answer you when I can down tools - you're throwing off my groove. I work asynchonously.
Taking all this additional bullshit into account slowed us all down, made previously productive developers unproductive and turned the process of software development into a buzzword-ridden, micromanaged, homogenised manufacturing process. No wonder some of us hate it. Scrum coaches - you can take your stories, points, burndowns and fucking planning poker and stick them up your collective arses (sideways if possible) and employers - trust your developers to know what they're doing, that's why you hired us."
https://www.quora.com/In-a-nutshell-why-do-a-lot-of-developers-dislike-Agile-What-are-better-project-management-paradigm-alternatives,Stefano Emiliozzi,I have been writing code since I was 8 years old.,2016,53,"In a nutshell Agile makes many assumptions that are unrealistic in most real case scenarios:
every engineer in a team can work on any task at the same speed/quality than anyone else
backlog items can be broken down almost indefinitely so they can fit 2–3 weeks sprint
the product should be in a deliverable state at the end of each sprint
a team scrum every day is a useful way to track sprint progression
If (and it’s a big IF) all these assumptions work in your case then probably Agile is the way to go.
Unfortunately most of the companies you’ll work for fail to meet some of all of the above, and Agile just turns into a burden that slows you down.
A few things that agile fails to capture IMHO:
different engineers have different skillset, so you can’t assign abstract story points to backlog items ignoring that
breaking backlog items in a myriad of smaller pieces to fit a sprint brings in additional complexity
90% of complex software cannot be in a deliverable state every two weeks
engineers hate meetings which are not absolutely necessary
R&D and design stages are fundamental in any project
In my experience, solid engineers are pretty good in self organizing and in delivering good quality software, discussing technical aspects in meetings only when necessary, and providing decent estimates.
On the contrary, mediocre engineers will provide subpar deliverables no matter which methodology they follow."
https://www.quora.com/In-a-nutshell-why-do-a-lot-of-developers-dislike-Agile-What-are-better-project-management-paradigm-alternatives,Michael Croft,MS in Software Engineering,2016,41,"About 8 years ago, a company I was at was acquired by a larger company. We were told we could either use the official Waterfall model of our new parent or we could adopt Agile.
Our VP, being no fool, chose Agile. He hired an Agile Consultant to come in. That’s where things started going wrong. Said consultant promised the VP that we would be “ten times as efficient” using Agile than we had been before. He taught us the rituals and methods and we had all the roles assigned and we all dug in to our backlogs and came up with estimates. The Consultant and the VP and his Directors were appalled by how long we thought it would take us to do what they considered “easy” work.
So we used their estimates, which coincidentally would’ve resulted in us being about ten time as efficient as we knew we were. With no other infrastructure or institutional change to make it happen. The first Sprint gets done and nobody has a deliverable, because nobody had a task small enough for us to get done in that time box.
“Why weren’t we ten times as efficient?”, the VP asked the Consultant. “It is because your developers are untalented hacks, who can’t do their jobs.”
So, yeah, that must be it. It couldn’t be a poorly-planned and poorly implemented transition with no room for learning. It couldn’t be the Consultant promised things he was never going to deliver. It was us. We just were bad at our jobs, and resistant to change.
Do I dislike Agile? Actually, no. It’s possible to do it well, to follow Agile principles from the bottom up and get some results. Turns out that almost any process improvement methodology will yield results, because people who are concentrating on it will make improvements in areas that are pain-points. You could implement waterfall at a poorly-working Agile site and make improvements.
Just be careful about the consultants."
https://www.quora.com/In-a-nutshell-why-do-a-lot-of-developers-dislike-Agile-What-are-better-project-management-paradigm-alternatives,Jim Thomason,"Time Traveler, but I Only Know How to Go Forward",2018,25,"I’m going to claim credit for coining this mocking phrase many years ago, though I wouldn't be surprised if I merely independently came up with it.
“The process isn’t important. What’s important is that we have a process!”
It summed up so much crap at so many jobs with so many awful managers. Where someone higher up the ladder would buy into the concept of The Process and then define something in some manner—sometimes they’d buy a pre-packaged kit of consultants and training courses, sometimes they’d make it up on their own, sometimes they’d cobble together some new piece of garbage from the previous two.
And The Process™ didn’t necessarily fit reality. So exceptions would be made. Sure, in this one special case, we’d do an exception to get something done, but we’d all feel really bad about it because we should be following The Process®, but we will next time. We never did. There were always exceptions, changes, modifications, because The Process© didn’t follow reality. I’d scream and jump around and wave my arms and suggest maybe, just maybe, we should change The Process© so that it reflected reality and we actually did something we needed to do, in a rigorous well defined fashion instead of using some BS that we couldn’t follow and would constantly need to special case. It always fell on deaf ears.
All of these places treated Agile as The Process™ that would make things perfect and magical and great and solve all of our issues. Several assumptions were always made:
We don’t need to write specs. We’re agile! We need to develop and iterate quickly!
Figuring out what we want in advance is a waste of time. We’re agile! We need to get changes done this sprint and then we’ll figure out after the fact if we did what we need. If we didn’t, we’ll do another sprint to fix it. We’re agile that way!
We don’t need to write documentation! We’re using Agile Processes and so our code is all self documenting as we quickly run through a sprint.
We don’t need to write tests! We’re using Agile Processes, and since we’re only writing small bits of code at a time we can be sure that it works!
We’re not going to have our users get together and document what they need or how the software should work, because that isn’t Agile! Instead, we’re going to start coding as fast as we can and give it to them and then listen to feedback after the fact.
We don’t have time to solicit a lot of user feedback after a sprint, since we’re busy starting the next sprint. What are we building in the next sprint? Why the new features, of course! And what are those new features supposed to do? We’ll figure it out as we go along. We’re Agile!
Needless to say, I’m a little bitter about how “Agile” is implemented most of the time. A lot of companies like to use it as an excuse for not writing any documentation or specs in advance, just vaguely demanding that the programmers create something within two weeks and refining it after the fact.
The sick thing is that the business side tends to be very happy with this. It’s minimal work for them (“Go build the spline reticulater! See you in two weeks!”), and they see the developers writing lots of code and giving them something quickly which they can comment on at the end of the sprint (“No. Not like that. Do it different.”), so it sure feels to them like their dev staff is being productive. And hey, they’re giving feedback and designing the process! And they only need to be on a couple of quick 15 minute conference calls every two weeks and not waste their time creating user stories or tech specs! Look at all the time they’ve saved! Agile!
The programming staff then races as fast as possible to churn out something that’s poorly defined and usually of poor quality as a result, but small in scope. There’s no documentation to refer back to exactly what they were supposed to build or what the user wanted. But as long as you can iterate fast, it’s cool.
Don’t get me wrong—I’m not an advocate for having your analysts spend 6 months locked in a conference room creating The Big Blue Binder full of tech specs, detailed written APIs, and UML documents. Those are an awful time sink that don’t adapt to changing needs and prevent a lot of development from occurring until the last minute.
It’s awesome to break apart a big task into a series of small ones. If your goal is solely “Build New Operating System”, it’s impossible to measure or report any progress. If you’ve got 5000 separate goals then you can carve it up. You can have one team doing design and spec writing for one piece, another team doing coding for the last bit, a third team evaluating the already produced code to ensure it still fits needs and creating change requests to adapt to business needs, and so on.
You need some sort of spec beyond a 5 minute vague phone call and less than The Comprehensive Total Document That Is Carved In Stone. But you still need the spec for what you’re working on, docs on how the individual pieces fit together, and a clear goal of what the final product should be (with the understanding that the business may change while it’s being built and the final product may be slightly different than what you started with). Most places don’t seem to want to do it that way.
If you’re really using agile methodologies to break tasks into small chunks, write clear specs for those pieces, get prototypes to stakeholders fast and adapt to their feedback, and put it all together into a product that your customer wants and not merely what you thought you were going to build, then you’re in great shape and it can work really well.
If you think you’re “Agile” because you don’t want to write any specs or follow any plan, but it’s okay because The Process© says that you should have a two week sprint no matter what, then you’re doing it wrong."
https://www.quora.com/In-a-nutshell-why-do-a-lot-of-developers-dislike-Agile-What-are-better-project-management-paradigm-alternatives,Bob MacNeal,"Writer, Thinker & Software Product Developer.",2016,41,"Developers are makers. Today we have creatives, like developers, who make stuff, the makers…and then you have everybody else…the non-makers.
What emerged from the 2001 conference in Snowbird were lightweight guiding principles…by the makers, for the makers.
The Agile manifesto is a beautiful thing. Revolutionary then. Influential today.
Few work days go by without one or more of the guiding principles influencing my perspective, or my approach, to the mission at hand.
What’s made “Agile” increasingly toxic is that over the years the non-makers have manufactured supercilious ancillary activities like user story estimating, planning poker sessions, ponderous tracking software, burn-down charts, and 30-person stand-ups for a 4-developer team (real world example), that have little or nothing to do with growing a software product.
The guiding principles have always worked very well for the makers. Unfortunately the non-makers have turned exquisitely lightweight guidance into a ball & chain of process that the team, makers and non-makers alike, must drag along with each iteration.
I hope this helps your understanding.
The Alternative
The alternative is to have 2–4 experienced developers who are laser-focused on the product, empathetic with user experience, and steeped in the guiding principles of the manifesto who are given product direction, unfailing support, and enthusiastic encouragement from a benevolent dictator."
https://www.quora.com/In-a-nutshell-why-do-a-lot-of-developers-dislike-Agile-What-are-better-project-management-paradigm-alternatives,Harold Treen,Former Agile Software Engineer @ Pivotal Labs,2016,154,"This is a really good talk given by Dave Thomas, one of the original creators of the “Agile Manifesto”. It’s titled “Agile is Dead”.
Agile is Dead?! This is coming from one of the people who helped create the whole thing! What’s going on?
In the video he makes a good point: Agile has been coopted into something it was never meant to be.
It has been turned into a process that an entire industry has been built around. Scrum master training, Agile conferences, etc., etc.
So now when people think of “Agile” they think of some process that’s being sold. “Follow this process and you will build the best possible software!”. But no process or system is absolute. Maybe scrum will work for some teams, but for others it won’t. And when you sell people things that don’t work, that’s really frustrating for them.
This is a slide from Dave Thomas’s talk where he talks about what Agility is really meant to be:
That definition actually makes a lot more sense!
So in a nutshell:
Agile has become this bloated system that teams across the globe have been sold as the solution to everyone’s problems. Nothing is absolute though and the best paradigm is going to be different depending on the team.
Agility is the process of iterating quickly, reflecting on changes and using those discoveries to get yourself closer to where you want to be. Most of the other stuff is marketing and stuff people started selling to cash in on the hype."
https://www.quora.com/In-a-nutshell-why-do-a-lot-of-developers-dislike-Agile-What-are-better-project-management-paradigm-alternatives,Brad Bass,"Java, C#, ASM and PVX+ (dont ask how that fits in there, lol)",2015,9,"Scrum 'masters', daily meetings, change.. Stats become more important than the code itself. We hate it for the reasons weak programmers love it. They love it because they dont really have to think (they are given a list of tasks to complete), theyre basically capped on how much work they can do during an iteration, the focus is on the 'team', so they tend to be able to get away with/hide their mistakes.. We hate it because we dont like being told how to do our jobs and especially not by some SCRUM 'master' who most likely has never written a line of code in their life. I suppose for the most part it just seems like Agile causes us to waste a lot of time to produce less quality work over shorter periods of time."
https://www.quora.com/In-a-nutshell-why-do-a-lot-of-developers-dislike-Agile-What-are-better-project-management-paradigm-alternatives,John Test,8y,2016,75,"I am really glad someone asked this question because some of my friends/colleagues and I were going to start an IT job board only for positions that DO NOT use Agile. Or at least not a bastardized spawn of it.
The problem as some others have mentioned already is the framework that gets attached to Agile. Normally this is Scrum. Now Scrum has different ways to do it but the most common version requires daily stand-ups, bi-weekly Sprints/planning, retrospective (for f*ck’s sake), demos etc.
I have now been through 3 companies in the last 7 years that started Agile/Scrum combo exactly the same way and did not have a single happy developer after this.
This is how it starts:
PM: Hey man how about this Agile thing. Everyone is using it these days.
Director: Oh that sounds great! I’ve been hearing a lot about it and devs are going to be really happy!
PM: Well instead of getting updates once a week we will be getting them daily! and.. and.. we will be able to see a demo bi-weekly! :) :) :)
… he’s got this sadistic look in this eyes that this will allow him to **truly** rule the dev team and if he has the Director on board, no one can challenge him …
Director: I keep loving this thing!
… at this point the PM and Director already have the impression that this one specific way of doing Agile/Scrum is loved and cherished by all devs in the world…
… they are double excited since they got told “it was created by developers for developers” …
… news is broken to Sr. Devs and TLs
Dev: hmm I’ve never done Agile before but sure.
… being very careful not to offend the PM or director, they ask subtle questions …
Dev: so Agile is a broad idea, how exactly are we implementing it?
PM: Well the best practice (he’s laughing in his head, sleazy bastard) entails daily scrum and bi-weekly demos/planning. But hey what’s better being in constant communication with the stakeholders/customers/management.
Dev: hmmmm. [ thinking: is it time to look for another job? ]
… the company goes and hires a scrum master….
SM: so how do you guys want to do this?
PM: well how about daily scrum and bi-weekly demos?
SM: well that’s one way of doing it but maybe we should talk to the team?
PM: no need. myself and Director assjack prefer it this way.
… SM being newly hired doesn’t want to argue…
Initially all the devs, devops, QA in the team are patient while the spoiled child PM is driving sexual gratification from all these added meetings. The post-scrum parking lot turns into an hour meeting daily as the spoiled child really has nothing else to do so he is wasting everyone else’s time as well.
After a few months most devs are tired. Some have already left. Couple jumped ship immediately after Agile was announced. The ones that are sticking around are due to camaraderie, nostalgia, unmarketable, or some other reason.
Ask them if they are happy.
The answer will always be a RESOUNDING YES!
Ask them if they are ok with the management
The answer will always be a RESOUNDING YES!
Ask them if they are ok with Agile
The answer will always be a RESOUNDING YES!
But if you listen real close, you can hear the bleak reality in the daily calls, demos and planning sessions. You can hear it in the increased sick time or other personal leaves. You can see it in demoralized attitude of the team.
The developers (especially Sr.) do not feel respected or trusted when they are asked to say “What did you do yesterday and what will you do today?”. This is the most demeaning question you can ask someone important to the bottom line of your company.
F*ck Agile!
F*ck Scrum!
Update: I mean no disrespect to any PMs, SMs, or Directors in general. The story I wrote is a very generic form of how the Agile process is started in a company. It could be suggested by a PM, VP, Manager etc."
