Author,Publication Date,Review
cortesoft,"on Dec 19, 2021","As someone who has lead a devops team, and still has a devops team reporting to me, I have also struggled with the idea of having a team called devops, since it does go against the devops philosophy of devs owning their software in production.However, in our case (and probably many others), our devops team is responsible for creating and maintaining the tools and processes that allow the dev teams to manage their systems in production. At a larger organization, it doesn’t make since for each individual dev team to have to create and maintain their own deployment and management systems… that would end up with a lot of duplicated effort and a wide variety of systems that would need to be maintained. Devops creates the tools and procedures, and dev teams use them.You might say this is just sysops, but I think the key difference is that the dev teams are the ones who are using the production management tools, not the sysops team. Devops is not the ones who are paged if a system has an issue, the dev team who owns it is paged. Devops is only paged if the tool that the dev team is using to handle the issue has issues itself."
INTPenis,"on Dec 19, 2021","Being a devops guy these last 2 years I have noticed that besides doing what you just mentioned, I am basically end user support for developers.And through this I've noticed that developers can be just as bad at communicating issues as any end user I've ever dealt with.Just because they've written the system end users use, does not mean they're better at reporting problems to me, because their problems are about the pipelines, the kubernetes clusters, the containers, anything outside of their programming code basically.So I still need to use all the communication skills I learned decades ago when I was doing end user support for people who didn't even work in IT."
capn_duck,"on Dec 20, 2021","In my experience, its because the tools that are given to the dev team are opaque, poorly documented, made for a general case that rarely is sufficient, and usually locked down with some role based access control to the point where, even if I can figure out whats wrong with some pipeline, I rarely have the access to change something. I have an AWS Codepipeline that I can see running, but the logs from each step are sent to a Cloudwatch instance running in another AWS account, which only the devops folks can view. I have a Jenkins pipeline that was cookie cutter from what the devops team offers. If I wanted to actually grok whats occurring during the pipeline, I'd have to jump between 3 or 4 github repos, and also account for the versions/branches on each one.It really feels worse than back in my websphere days, where in order to see app logs, we had to submit a ticket to the hosting teams and wait 2 days for a .log file to be sent back through email. I'm consistently left wondering if we've actually gained anything."
Macha,"on Dec 20, 2021","Yeah, one of the reasons I left a previous team was the company's attempt at embracing this. The standards were set down from a central platform team, the access control was held by department specific operations team, but developers were now ""responsible"" for the production deployments but granted neither the agency or access to do shit about it. So being paged about an issue with a load balancer setup that is understand by 2 guys in the platform team and configured by a different guy and having him have to send you screenshots of the config while digging in the source of the platform team's tool because of course there's no docs."
ethbr0,"on Dec 20, 2021","I think the above is what happens when a devops tools team doesn't do discovery and user interviews.We've been at a point of software and development where we can build pretty much anything. But people are still making the same mistakes in figuring out what we should build.Fix the cause, not the symptom.Edit: And because I know it's coming... if IT security (or insert other org here) is the reason things can't be better, then it becomes the devops tools team's job to cajole them into doing it anyway, on behalf of their users."
nightpool,"on Dec 20, 2021","I understand where you're coming from, but I don't think you really need ""discovery and user interviews"" to tell you that app developers need to be able to see their deployment logs, or that having your deployment code spread out across 3-4 repos with frequent changes makes it harder to troubleshoot. I think a lot of people might read this comment as blameshifting, where obvious flaws in the engineering and reliability of the system are blamed instead on a failure to define the specifications properly ahead of time."
ethbr0,"on Dec 20, 2021","Here's the reason, 9 out of 10 times, this situation persists -- no one realizes it's happening.No one realizes some dev teams can't see their own deployment logs. No one realizes teams don't have the correct Jenkins access. No one realizes there's a mysterious gatekeeper to use the corporate time series database as a service. No one realizes all new containers are transferred to a few people who have the rights to publish them.And when I say ""no one realizes"", I mean two things. One, the people who do know, because they're the ones trying to do it, have given up bitching about it, because they did for years and nothing happened. Two, the people who can actually change things don't know, either because they actively ignored / forgot or because the requests never reached them (usually because a middle transport manager didn't understand what was actually being asked).And so... the status quo prevails, and everyone has a vague sense that something isn't working, but doesn't know what to do about it.And to that problem, the best solution I've found is to get the fixer and the problem user as close as possible, wherein the problem is usually revealed as a relatively simple change or feature oversight. And for that, discovery and user interviews are the most reliable method."
croon,"on Dec 20, 2021","> And to that problem, the best solution I've found is to get the fixer and the problem user as close as possibleYou mean put development and operations together, into some kind of dev..ops.. :)I'm sorry for the snark, it was not meant as disagreement with what you said. The whole idea of the role was to try to remedy that exact issue, but old habits die hard and sometimes things just change names but stay the same. I shouldn't throw stones, I'm struggling at our shop to steer outside of that behavior as well."
ethbr0,"on Dec 20, 2021",devops is the new agile
inkeddeveloper,"on Dec 21, 2021",The only good thing that has come out of the rise of devops is all the conferences I have been able to attend.
inkeddeveloper,"on Dec 21, 2021",This is why I pushed for a developer advocate role at my last place. The idea was shit on pretty quickly.
hnthrowaway0315,"on Dec 20, 2021","I actually think that it's an issue of company structure. Once you concentrate ALL deployment/operational power to a single DevOps team, you really lose the power to touch individual teams and make human budgets clearly. This is more of a ""cost-center"" move that implicitly signals that company X needs a single platform and individual requirements are not going to be prioritized.The same thing with a single DBA or whatever admin team. My dream team structure is a task-force like one. Each team has its own DevOps/DBA. They don't have to be dedicated roles, but someone in the team needs to be well-trained on those topics.But I guess this model never scales in larger corporations so eventually they all adopt the One X-admin team model."
liotier,"on Dec 20, 2021","> My dream team structure is a task-force like one. Each team has its own DevOps/DBA. They don't have to be dedicated roles, but someone in the team needs to be well-trained on those topics.Looking back at the last twenty years, oscillating between central sysops and everyone doing their own thing (is that ""devops"" ?), I feel that an optimum requires both: local skills to iterate fast, central skills to consolidate. Striking a budgetary balance is difficult, but at least ensure that some local skills remain - sell it to central ops as a way to get the trivial demands off their backs !"
hnthrowaway0315,"on Dec 20, 2021",This is good point and definitely more doable when the company is already centralized.
ethbr0,"on Dec 20, 2021","IMHO, the ""centralized team"" + ""decentralized liasons"" model isn't explicitly used nearly as often as it should be.It usually happens in practice (""Sarah knows someone in security""), but there's no reason ""devops liason"" can't be an explicit 2nd+ hat for someone on a team to wear.Centralized teams are necessary for budgetary reasons: one person on every team asking for a devops product will never make a coherent case to management for why it's needed, but a team will.But having been on both sides of the equation, the central-decentralized relationship usually breaks down because there's always a new face on the right side of that equation, and that requires reteaching / recoordinating all the basics. More consistency on the user side (a hat) helps significantly.And ultimately, it's a trust problem: do I (central person) trust this person who's asking me for something? If they're new to me... probably not very much. If I've been working with them for awhile... probably a lot more."
hnthrowaway0315,"on Dec 20, 2021","Agreed. And I don't really see a good solution for this. I guess we have to recognize that when companies grow and especially when structures are moved around, the original ""agile"" efficiency is not going to be there so we need to slow down in whole."
2fast4you,"on Dec 20, 2021",Do you have good resource in how to discovery/user interviews? I’m on a DevOps team working to mature the first few tools we made
ethbr0,"on Dec 20, 2021","I'd look at UX books. They've got more formal approaches.Personally? Make a list of all the teams that use your product. Schedule interviews (30 minutes to an hour for initial) with a few that use it the most, and a few that use it less. Ask them what the best and worst parts are. Ask them details about the things they bring up, and prompt about related areas they might be struggling with too.If you get any repeats from team to team, assume those are systemic issues and try and find a solution.The hard part usually isn't figuring out the nuances, but rather realizing that someone wants to do something at all and/or can't because of some restriction. Assume you know nothing about how they actually do what they do and listen closely."
wting,"on Dec 21, 2021","To add on to ethbr0's good response, a few other things to do:1. Find early adopters of the thing you're building who are willing to use and give feedback (bugs, friction logs) in the early stages of the feature.2. Build relationships with your users / VIP users and meet regularly to discuss friction points and upcoming features (feasibility, etc). To make it time efficient, make sure you're talking to staff engineers who can speak on behalf of a significant portion of your user base. Make sure your team is closing the feedback loop with these engineers (i.e. shipping things that address their concerns) in a timely fashion."
raffraffraff,"on Dec 20, 2021","Sending logs to a dedicated AWS account is usually done for compliance. That account will have rules set via AWS Organization policies that limit IAM user rights and protect S3 buckets from being tampered with. I don't see why it should be necessary to ban read-only access to these logs for troubleshooting.Anyone here know a good legal, compliance or best practice reason for blocking all access, or did the infra/sec team just get carried away here?IMO the biggest issue other engineers tend to have with security is that it needlessly restricts them to the point where their job sucks. It's just as important to avoid ""too much restriction"" as ""too little restriction""."
