Author,Date,Comment
js2,"on Aug 3, 2019","> This type of innovation takes significant up-front design time, and working on components over longer than one week iterations. Because the projects have such simple external interfaces, and so much internal complexity, much of the work is not even visible to “customers”, so there is no way to write customer visible stories about it. This type of software takes 8–20 months to deliver the first working version to the customer.At Yahoo, I designed and built a large project. This took about six months to deliver. At the time, the company was doing quarterly reviews that I think Marissa had imported from Google. Anyway, my manager had rated me as ""meets expectations"" for a few quarters because this project and the one I had previously worked on weren't visible to ""customers"" till they were delivered, so he didn't have any evidence to justify a higher rating against other managers' team members.Little did my manager know that a few quarters of ""meets expectations"" had caused HR to drop me into the bottom 5% of the company and so I received a letter from HR that I was at risk of being terminated.So I deliver the project and now it's visible and everyone loves it and I get an ""exceeds expectations"" rating and then a promotion and a raise.From being warned I'd be terminated to a promotion in less than six months, with no change in my work, but simply it becoming visible. Whee big company fun."
gordaco,"on Aug 3, 2019","> Little did my manager know that a few quarters of ""meets expectations"" had caused HR to drop me into the bottom 5% of the company and so I received a letter from HR that I was at risk of being terminated.This is disturbing and, I think, a twisted form of grade inflation, mixed with the usual suitspeak where words don't necessarily mean what they mean. If an employee is as good as you think they should be, why would you put it at risk of termination?For the record, I also work in a big company with long product cycles, meaning that the product I'm working on started more than one year ago, and the first public release is planned for next December, so I feel your pain. Luckily our process is a bit more sane and our manager follows our work closely, so I'm getting good ratings (but I wonder if the grade inflation will continue in such a way that ""exceeds expectations"" now means ""subpar employee""...)."
jpalawaga,"on Aug 3, 2019","This is 100% caused by stack ranking, and the problem you identify is a very real one. Chopping off the bottom 5% of employees works if you have a LOT of dead weight, but realistically you can't really do it continuously or you start removing legitimate talent and, just as worse, fostering a toxic community that values playing politics over delivering value."
taftster,"on Aug 3, 2019","Not only that, but chopping off the bottom 5% typically makes room for more hiring; these emptied jobs are likely to be filled with less-than-stellar candidates.  It take the new hires a few years before they too are dropped down into that lower 5% rank.Stack ranking ensures that you have churn in your workforce, and not in a good way. You wonder why workers in the tech industry move around so much? Look at stack ranking as a significant contributing factor."
Spooky23,"on Aug 3, 2019",That’s by design. Keeps the workforce young and insurance cheap.
ajross,"on Aug 3, 2019","Less cynically, it also increases the odds of finding good employees.  A ""bottom 5%"" worker is statistically less likely to suddenly rise to the top of the pack than a new hire is to produce at that level initially.  And, more cynically, that remains true even if there's significant measurement error in identifying that 5%."
kragen,"on Aug 4, 2019","That's true if the performance ratings are cost-free and fairly accurate.  A company where firing is based on misconduct and promotion is based on achievement, rather than basing both on quarterly reviews, might actually have a better chance of finding good employees, and perhaps more importantly, retaining them."
lonelappde,"on Aug 3, 2019","Why would companies prefer cheap insurance over productivity? If they want to pay less, they can just pay less. People would rather get paid less than get fired."
Ididntdothis,"on Aug 4, 2019",Productivity is hard to measure. Insurance cost is easy to measure.
2muchcoffeeman,"on Aug 3, 2019",Is it about cost?It’s often easier to get that pay raise by hopping companies. You’re then replaced with a new hire who is probably getting more than you did. And needs a few months to get up to speed.Treating your proven employees well to retain them would cost less.
Spooky23,"on Aug 3, 2019","Big companies are driven by the mean and dollars. The short term numbers work out, and long term productivity issues are addressed by acquisition."
jecxjo,"on Aug 3, 2019","I worked for a large global company and this matched exactly what I was seeing. I had projects with year or more development cycles before something was deliverable so ""meets expectations"" was difficult when you had nothing to show for your work as they only cares about final results. We even had an unwritten rule where everyone must have at a minimum two ""needs improvement"" because ""everyone should be working on making themselves better."" This lead to a dark rabbit hole and a lot of engineers leaving.With such a messed up evaluation process engineering demanded direct, documented process for doing evaluations. Instead we had managers trying to gauge output based on defects fixed and lines of code committed. You could tell management had no clue."
